R&D Spend,Administration,Marketing Spend,State,Profit
123282,128663.9429,306651.9948,2,154351.6479
79009,122125.5046,221227.1204,2,116529.6061
109841,126678.9148,280717.5486,3,142869.1176
96021,124637.9143,254051.8209,2,131062.8109
136849,130667.5793,332829.5584,1,165941.819
144390,131781.2685,347379.9385,2,172384.0302
109658,126651.8885,280364.4496,1,142712.7823
50050,117848.7076,165350.6509,3,91790.18226
60170,119343.2753,184877.2185,2,100435.6109
112043,127004.1162,284966.3136,1,144750.2672
103519,125745.2531,268519.2324,2,137468.2876
132029,129955.7397,323529.3552,1,161824.1346
51373,118044.0942,167903.383,2,92920.40974
69518,120723.8305,202914.21,3,108421.5267
107707,126363.756,276599.9898,1,141046.0598
125384,128974.3759,310707.8096,3,156147.3684
156397,133554.517,370547.4778,1,182641.5067
118745,127993.8981,297897.841,2,150475.728
36008,115774.9211,138256.5735,3,79794.22283
7959,111632.517,84135.95141,1,55832.20416
121607,128416.5713,303420.0778,2,152920.7099
113168,127170.2613,287137.0042,3,145711.345
92665,124142.2849,247576.4097,2,128195.809
36840,115897.7946,139861.9198,3,80504.99325
144661,131821.291,347902.8337,2,172615.5432
62251,119650.6068,188892.5137,3,102213.3913
49407,117753.7464,164109.9806,1,91240.87291
127740,129322.3207,315253.718,2,158160.0789
6101,111358.1191,80550.93534,1,54244.9308
142977,131572.5902,344653.5511,3,171176.9165
138529,130915.6893,336071.123,1,167377.0285
122905,128608.2658,305924.5723,2,154029.5801
66102,120219.3401,196323.0287,1,105503.2673
18930,113252.7642,105304.5259,3,65204.63479
18903,113248.7767,105252.4293,3,65181.56893
140704,131236.9032,340267.7914,1,169235.1122
112110,127014.0111,285095.5903,2,144807.5047
143046,131582.7805,344786.6868,3,171235.8626
50864,117968.9228,166921.2661,1,92485.57543
132160,129975.0864,323782.1201,3,161936.0467
68920,120635.5151,201760.3674,1,107910.6604
157947,133783.428,373538.207,3,183965.6583
120687,128280.7015,301644.9353,1,152134.7618
3372,110955.0879,75285.32239,2,51913.56964
53012,118286.1492,171065.8379,3,94320.5933
64233,119943.3176,192716.7881,2,103906.5968
102541,125600.8176,266632.1787,1,136632.7906
27996,114591.6724,122797.3976,3,72949.64036
3111,110916.5422,74781.72217,2,51690.5996
66932,120341.9182,197924.516,1,106212.3292
118012,127885.6453,296483.5154,2,149849.5324
18192,113143.773,103880.5529,2,64574.16776
83511,122790.3805,229913.7417,3,120375.6258
123767,128735.5699,307587.8037,2,154765.9792
44424,117017.8343,154495.2685,1,86983.939
143423,131638.4576,345514.1093,2,171557.9304
127190,129241.0942,314192.4915,1,157690.2186
22014,113708.2234,111255.1123,3,67839.26938
148327,132362.7026,354976.3907,2,175747.3753
4852,111173.6611,78140.98643,1,53177.92087
87342,123356.16,237305.6667,2,123648.4161
12412,112290.1563,92728.02707,2,59636.36364
66380,120260.3964,196859.4305,3,105740.7603
135781,130509.8522,330768.8495,1,165029.4358
154047,133207.4583,366013.1464,3,180633.922
91262,123935.0835,244869.3174,1,126997.2382
143575,131660.9056,345807.3938,2,171687.7827
89669,123699.822,241795.6195,3,125636.3521
3737,111008.9928,75989.59088,1,52225.38599
12816,112349.8208,93507.54618,2,59981.49735
46750,117361.3485,158983.2918,3,88971.02073
16708,112924.6091,101017.1708,2,63306.39937
11277,112122.5343,90538.04147,3,58666.74293
32758,115294.9462,131985.6896,2,77017.77587
131074,129814.701,321686.6801,3,161008.2863
33729,115438.348,133859.2368,1,77847.29279
56708,118831.9913,178197.28,2,97478.0542
43245,116843.7142,152220.3848,1,85976.72948
117945,127875.7505,296354.2388,3,149792.2949
93533,124270.4751,249251.2181,1,128937.3339
36345,115824.6907,138906.8159,2,80082.11902
123150,128644.4486,306397.3005,1,154238.8815
146767,132132.3147,351966.3665,3,174414.6808
125425,128980.4309,310786.9192,3,156182.3943
26154,114319.6374,119243.2536,1,71376.03566
113132,127164.9447,287067.5421,2,145680.5905
159191,133967.1476,375938.5084,3,185028.3968
23281,113895.3397,113699.7923,1,68921.65655
145038,131876.9681,348630.2563,3,172937.611
119016,128033.9206,298420.7362,1,150707.2409
159570,134023.1201,376669.7899,3,185352.1732
66705,120308.3938,197486.5188,1,106018.405
96720,124741.1458,255400.5433,2,131659.9605
77031,121833.3846,217410.564,3,114839.8177
56584,118813.6785,177958.0217,2,97372.12207
34269,115518.0976,134901.1683,1,78308.61013
43002,116807.8268,151751.5156,3,85769.13667
90606,123838.2024,243603.5636,2,126436.8231
21297,113602.3336,109871.6588,1,67226.74247
147448,132232.8879,353280.3578,2,174996.4532
11931,112219.12,91799.93626,2,59225.44949
62868,119741.7282,190083.0169,3,102740.489
107864,126386.9425,276902.9217,2,141180.1836
126763,129178.0329,313368.5938,1,157325.4362
48320,117593.2133,162012.6111,2,90312.25819
132750,130062.2203,324920.5267,1,162440.0786
90232,123782.9684,242881.9296,3,126117.3181
11415,112142.9148,90804.31285,2,58784.63514
136367,130596.3953,331899.5381,1,165530.0505
48599,117634.4173,162550.9424,2,90550.60548
131209,129834.6384,321947.163,1,161123.6156
44805,117074.1021,155230.409,2,87309.42402
27745,114554.6036,122313.0924,3,72735.21323
56428,118790.6397,177657.0193,1,97238.85262
22961,113848.0807,113082.3514,3,68648.28331
127002,129213.3295,313829.745,1,157529.6118
42722,116766.4752,151211.2548,2,85529.93509
36880,115903.702,139939.0999,3,80539.1649
134020,130249.7797,327370.9952,1,163525.0287
105406,126023.9338,272160.204,2,139080.3354
135965,130537.0261,331123.878,3,165186.6254
22609,113796.0957,112403.1664,2,68347.57275
48592,117633.3835,162537.4359,3,90544.62544
45646,117198.3048,156853.1208,2,88027.88306
18687,113216.8769,104835.6567,3,64997.04199
159134,133958.7296,375828.5267,1,184979.7022
25194,114177.8603,117390.931,2,70555.91594
49370,117748.2821,164038.589,1,91209.26412
83997,122862.1552,230851.4801,3,120790.8114
127102,129228.0979,314022.6953,1,157615.041
112617,127088.8871,286073.8482,2,145240.6305
18790,113232.0884,105034.3955,1,65085.034
31530,115113.5896,129616.2603,3,75968.70607
154761,133312.905,367390.8113,3,181243.886
62322,119661.0924,189029.5084,1,102274.046
138389,130895.0135,335800.9926,2,167257.4277
54437,118496.5997,173815.3793,3,95537.9585
128678,129460.8488,317063.5916,1,158961.4042
36374,115828.9736,138962.7715,3,80106.89347
91354,123948.6704,245046.8317,1,127075.833
159026,133942.7797,375620.1405,3,184887.4387
21362,113611.9331,109997.0765,1,67282.27141
33021,115333.7873,132493.1489,2,77242.4545
135411,130455.2089,330054.9335,3,164713.348
41996,116659.2562,149810.4359,2,84909.71956
129894,129640.4332,319409.8669,1,160000.2225
29076,114751.1717,124881.2606,3,73872.27504
60970,119461.4229,186420.8207,2,101119.044
68150,120521.798,200274.6503,1,107252.8561
79611,122214.4107,222388.6811,2,117043.8895
125073,128928.446,310107.7342,2,155881.6838
108627,126499.6258,278375.1323,3,141832.0079
38547,116149.8921,143155.5809,2,81963.26862
109403,126614.229,279872.4264,1,142494.938
110385,126759.2552,281767.1981,2,143333.8521
27445,114510.2982,121734.2416,1,72478.92582
99603,125166.9203,260963.2997,3,134122.8826
10372,111988.8798,88791.8415,2,57893.60924
146341,132069.4011,351144.3983,1,174050.7527
20181,113437.5176,107718.3338,2,66273.3533
105465,126032.6472,272274.0447,2,139130.7386
58528,119100.7772,181708.975,3,99032.8645
107739,126368.4819,276661.7339,1,141073.3972
125610,129007.7526,311143.8772,3,156340.4382
45698,117205.9844,156953.455,1,88072.30621
90555,123830.6705,243505.159,2,126393.2542
19468,113332.2185,106342.5983,3,65664.24355
100506,125300.2795,262705.6406,1,134894.3077
72494,121163.3397,208656.4101,2,110963.8978
63372,119816.1612,191055.4862,3,103171.0519
41878,116641.8294,149582.7545,2,84808.91317
105962,126106.0464,273233.0075,3,139555.3214
23028,113857.9755,113211.6281,2,68705.52083
55229,118613.5659,175343.5455,3,96214.55727
57839,118999.0226,180379.5476,1,98444.25774
112421,127059.941,285695.6657,2,145073.1894
104830,125938.8675,271048.8105,1,138588.2636
105004,125964.5646,271384.5439,3,138736.9103
33474,115400.6884,133367.2136,1,77629.44849
101381,125429.5035,264393.9555,2,135641.8126
49895,117825.8165,165051.5779,1,91657.76709
140901,131265.9971,340647.9035,3,169403.4076
99011,125079.4911,259821.0341,3,133617.1421
25140,114169.8853,117286.7378,1,70509.78421
88069,123463.5267,238708.4152,2,124269.4859
5954,111336.4094,80267.29844,3,54119.34996
146657,132116.0694,351754.1212,1,174320.7087
120300,128223.5476,300898.2177,3,151804.1511
153919,133188.5546,365766.17,1,180524.5727
6952,111483.7986,82192.94216,3,54971.93275
24538,114080.9792,116125.1772,1,69995.5008
33718,115436.7234,133838.0123,2,77837.89559
60311,119364.0988,185149.2784,3,100556.066
158104,133806.6145,373841.1389,2,184099.7821
120265,128218.3786,300830.6851,1,151774.2509
122843,128599.1094,305804.9431,3,153976.614
156926,133632.6421,371568.1847,2,183093.4268
50112,117857.864,165470.28,1,91843.14832
12068,112239.3528,92064.27813,2,59342.48741
78098,121990.964,219469.3435,2,115751.3466
69762,120759.8655,203385.0087,3,108629.9738
156672,133595.1302,371078.091,2,182876.4368
110066,126712.1438,281151.6868,1,143061.3332
149352,132514.0793,356954.131,2,176623.024
123926,128759.0518,307894.5946,1,154901.8116
155584,133434.4494,368978.7921,3,181946.9678
59551,119251.8585,183682.8563,2,99906.80457
32892,115314.736,132244.243,1,77132.25091
148355,132366.8378,355030.4168,2,175771.2955
34087,115491.219,134549.9988,1,78153.1291
9153,111808.8523,86439.77767,2,56852.22806
141090,131293.9095,341012.5795,3,169564.8687
30917,115023.059,128433.4751,1,75445.02546
116032,127593.2299,292663.1,3,148158.0355
111403,126909.5981,283731.4319,1,144203.5207
109089,126567.856,279266.5626,2,142226.6905
147916,132302.0043,354183.3651,3,175396.2616
80883,122402.2655,224843.0086,1,118130.5481
69933,120785.1196,203714.9537,2,108776.0576
68302,120544.2461,200567.9347,3,107382.7084
83794,122832.1752,230459.791,2,120617.3903
118649,127979.7204,297712.6087,3,150393.716
66766,120317.4026,197604.2185,2,106070.5168
130880,129786.0502,321312.3566,3,160842.5538
114090,127306.4265,288916.0057,1,146499.0017
56983,118872.6046,178727.8933,2,97712.98433
90073,123759.4865,242575.1387,1,125981.4858
26750,114407.6574,120393.2372,3,71885.19331
94859,124466.3048,251809.7387,1,130070.1243
64520,119985.7031,193270.5554,2,104151.7784
66882,120334.534,197828.0408,1,106169.6146
114904,127426.6417,290486.621,3,147194.3948
108270,126446.9024,277686.2998,3,141527.0259
76026,121684.9616,215471.4138,1,113981.2549
158668,133889.9086,374929.3785,2,184581.6024
5885,111326.2192,80134.16275,3,54060.40386
32007,115184.0351,130536.6331,1,76376.20305
58843,119147.2979,182316.7684,3,99301.96628
57863,119002.567,180425.8557,1,98464.76074
146290,132061.8692,351045.9937,3,174007.1838
92831,124166.8005,247896.7072,1,128337.6214
149026,132465.9341,356325.1131,2,176344.525
68638,120593.8681,201216.2476,3,107669.7503
48519,117622.6025,162396.5822,2,90482.26217
35910,115760.448,138067.4822,1,79710.50227
41614,116602.8407,149073.3658,3,84583.38025
137713,130795.1787,334496.6487,2,166679.9267
29287,114782.3332,125288.3857,1,74052.53052
94648,124435.1434,251402.6136,2,129889.8688
41578,116597.524,149003.9037,2,84552.62576
96008,124635.9944,254026.7374,3,131051.7051
78630,122069.5322,220495.8389,2,116205.8296
19242,113298.8418,105906.5307,1,65471.1737
92507,124118.9507,247271.5483,2,128060.831
92171,124069.3287,246623.2354,1,127773.7891
70074,120805.9431,203987.0135,3,108896.5127
149598,132550.4097,357428.7887,2,176833.1797
6975,111487.1954,82237.32073,1,54991.58145
155563,133431.3481,368938.2725,2,181929.0277
63024,119764.767,190384.0193,2,102873.7585
9960,111928.0338,87996.88638,3,57541.6412
19291,113306.0783,106001.0764,1,65513.03398
132449,130017.7672,324339.7464,3,162182.9369
3089,110913.2932,74739.27311,1,51671.80519
104168,125841.1003,269771.4796,2,138022.7227
153606,133142.3294,365162.2357,3,180257.1795
13316,112423.6631,94472.29754,1,60408.64304
151611,132847.6987,361312.8777,2,178552.8682
155716,133453.9438,369233.4864,3,182059.7343
76520,121757.9178,216424.5881,2,114403.2748
42221,116692.4852,150244.574,3,85101.93511
126483,129136.6812,312828.3331,2,157086.2346
118217,127915.9207,296879.0635,3,150024.6621
91556,123978.5027,245436.5912,1,127248.3999
123093,128636.0305,306287.3188,2,154190.1869
90163,123772.7781,242748.7939,1,126058.372
104391,125874.034,270201.7588,3,138213.2296
61243,119501.7408,186947.5749,1,101352.2656
